PlayerName,Team
Bill Hill,"[BLN, BRO, CIN, CL4, LS3]"
Bill Hinchman,"[CIN, CLE, PIT]"
Bill Hoffer,"[BLN, CLE, PIT]"
Bill Holbert,"[BR3, LS1, ML2, NY4, SR1, TRN]"
Bill Howerton,"[NY1, PIT, SLN]"
Bill Hubbell,"[BRO, NY1, PHI]"
Bill Hughes,"[PH4, PIT, WSU]"
Bill Hunnefield,"[BSN, CHA, CLE, NY1]"
Bill Hutchinson,"[CHN, KCU, SLN]"
Bill James,"[BOS, BSN, CHA, CLE, DET, SLA]"
Bill Jones,"[BL2, BSN, PHU]"
Bill Joyce,"[BRO, BRP, BS2, NY1, WSN]"
Bill Keister,"[BLA, BLN, BSN, PHI, SLN, WS1]"
Bill Kelly,"[FW1, PHA, PHI]"
Bill Kelso,"[CAL, CIN, LAA]"
Bill Kennedy,"[BOS, CHA, CIN, CLE, SLA, WS1]"
Bill Killefer,"[CHN, PHI, SLA]"
Bill Kling,"[BLN, LS3, PHI]"
Bill Knickerbocker,"[CHA, CLE, NYA, PHA, SLA]"
Bill Krieg,"[BR3, CHN, CHU, WS8]"
Bill Krueger,"[DET, LAN, MIN, ML4, MON, OAK, SDN, SEA]"
Bill Kuehne,"[CIN, CL5, CL6, LS2, LS3, PIT, PT1, PTP, SLN]"
Bill Lamar,"[BOS, BRO, NYA, PHA]"
Bill Landrum,"[CHN, CIN, MON, PIT]"
Bill Laskey,"[CLE, MON, SFN]"
Bill Laxton,"[CLE, DET, PHI, SDN, SEA]"
Bill Lee,"[BOS, BSN, CHN, MON, PHI]"
Bill Lennon,"[BL4, FW1, WS4]"
Bill Lohrman,"[BRO, CIN, NY1, PHI, SLN]"
Bill Long,"[CHA, CHN, MON]"
Bill Madlock,"[CHN, DET, LAN, PIT, SFN, TEX]"
Bill Magee,"[LS3, NY1, PHI, SLN, WSN]"
Bill McAfee,"[BSN, CHN, SLA, WS1]"
Bill McClellan,"[BR3, CHN, CL3, PHI, PRO]"
Bill McGunnigle,"[BFN, CL2, WOR]"
Bill McKechnie,"[BSN, CIN, IND, NEW, NY1, NYA, PIT]"
Bill Melton,"[CAL, CHA, CLE]"
Bill Merritt,"[BSN, CHN, CIN, LS3, PIT]"
Bill Miller,"[BAL, NYA, PIT, SLA]"
Bill Monbouquette,"[BOS, DET, NYA, SFN]"
Bill Moore,"[BOS, DET, MON]"
Bill Moran,"[CHA, CHN, SLN]"
Bill Morgan,"[BLU, PT1, RIC, WS7]"
Bill Mueller,"[BOS, CHA, CHN, LAN, SFN]"
Bill Nagel,"[CHA, PHA, PHI]"
Bill Nahorodny,"[ATL, CHA, CLE, DET, PHI, SEA]"
Bill Nicholson,"[CHN, PHA, PHI]"
Bill North,"[CHN, LAN, OAK, SFN]"
Bill O'Neill,"[BOS, CHA, WS1]"
Bill Parks,"[BSN, PH2, WS6]"
Bill Pecota,"[ATL, KCA, NYN]"
Bill Phillips,"[BR3, CIN, CL2, KC2, PIT]"
Bill Phyle,"[CHN, NY1, SLN]"
Bill Piercy,"[BOS, CHN, NYA]"
Bill Plummer,"[CHN, CIN, SEA]"
Bill Powell,"[CHN, CIN, PIT]"
Bill Pulsipher,"[BOS, CHA, MIL, NYN, SLN]"
Bill Rariden,"[BSN, CIN, IND, NEW, NY1]"
Bill Reidy,"[BRO, MLA, NY1, SLA]"
Bill Renna,"[BOS, KC1, NYA, PHA]"
Bill Risley,"[MON, SEA, TOR]"
Bill Robinson,"[ATL, NYA, PHI, PIT]"
Bill Rodgers,"[BOS, CIN, CLE, PIT]"
Bill Salkeld,"[BSN, CHA, PIT]"
Bill Sampen,"[CAL, KCA, MON]"
Bill Sayles,"[BOS, BRO, NY1]"
Bill Schenck,"[BR3, LS2, RIC]"
Bill Scherrer,"[BAL, CIN, DET, PHI]"
Bill Schuster,"[BSN, CHN, PIT]"
Bill Schwartz,"[CL5, CLE, CNU]"
Bill Selby,"[BOS, CIN, CLE]"
Bill Shores,"[CHA, NY1, PHA]"
Bill Short,"[BAL, BOS, CIN, NYA, NYN, PIT]"
Bill Singer,"[CAL, LAN, MIN, TEX, TOR]"
Bill Skowron,"[CAL, CHA, LAN, NYA, WS2]"
Bill Smiley,"[BL1, BL2, SL4]"
Bill Smith,"[BL4, CL2, PHI, SLN]"
Bill Spiers,"[HOU, ML4, NYN]"
Bill Stearns,"[HR1, WS3, WS4, WS5, WS6]"
Bill Stein,"[CHA, SEA, SLN, TEX]"
Bill Stoneman,"[CAL, CHN, MON]"
Bill Sudakis,"[CAL, CLE, LAN, NYA, NYN, TEX]"
